"Player","Team","Positions","IP","K","SV","BS","HD","ERA","WHIP","ER","H","BB","HR","G","W","L","Own"
"Edwin Diaz","NYM","RP","67.0","103","37","3","0","2.40","0.97","18","44","21","6","68","3","3","99%"
"Kenley Jansen","LAD","RP","65.5","81","38","5","0","2.97","1.01","22","51","15","9","65","3","3","98%"
"Blake Treinen","OAK","RP","72.8","83","33","7","0","2.64","1.12","21","58","24","5","69","4","3","99%"
"Brad Hand","CLE","RP","69.6","93","37","9","0","3.08","1.13","24","54","25","8","69","4","3","98%"
"Aroldis Chapman","NYY","RP","58.4","93","35","4","0","2.61","1.09","17","37","27","5","60","3","2","98%"
"Craig Kimbrel","","RP","62.1","94","29","4","0","2.74","1.05","19","39","27","6","64","3","2","94%"
"Felipe Vazquez","PIT","RP","67.6","84","34","4","0","2.80","1.16","21","55","23","5","68","3","3","98%"
"Roberto Osuna","HOU","RP","61.1","66","36","7","0","3.12","1.04","21","52","12","7","63","3","3","98%"
"Collin McHugh","HOU","RP,SP","143.1","149","0","0","0","3.86","1.25","61","135","44","19","29","10","7","52%"
"Raisel Iglesias","CIN","RP","69.3","79","31","3","0","3.38","1.19","26","58","24","9","64","3","3","85%"
"Tyler Glasnow","TB","SP,RP","135.6","160","0","0","0","3.95","1.32","60","115","64","17","26","8","8","59%"
"Wade Davis","COL","RP","62.1","75","34","4","0","3.67","1.22","25","50","26","7","63","3","3","89%"
"Ken Giles","TOR","RP","62.1","73","30","2","0","3.69","1.20","25","57","18","7","64","3","3","83%"
"Wade LeBlanc","SEA","SP,RP","142.6","113","0","0","0","4.36","1.28","69","143","39","23","25","8","9","5%"
"Robbie Erlin","SD","SP,RP","118.8","96","0","0","0","4.15","1.26","55","125","24","17","25","7","8","1%"
"Ryan Yarbrough","TB","SP,RP","132.9","113","0","0","0","4.21","1.32","62","131","44","18","32","8","8","11%"
"Brad Keller","KC","SP,RP","157.7","113","0","0","0","4.06","1.39","71","162","57","15","31","9","9","9%"
"Yonny Chirinos","TB","SP,RP","108.6","90","0","0","0","4.08","1.29","49","111","29","16","29","6","6","2%"
"Brandon Woodruff","MIL","SP,RP","115.2","108","0","0","0","4.28","1.35","55","112","44","17","25","7","7","5%"
"Antonio Senzatela","COL","SP,RP","148.3","118","0","0","0","4.51","1.40","74","155","52","21","29","9","9","1%"
"Corbin Burnes","MIL","RP","95.7","88","0","0","0","4.38","1.37","47","96","35","13","25","6","6","6%"
"Justus Sheffield","SEA","SP,RP","95.6","84","0","0","0","4.42","1.43","47","94","43","13","20","5","6","6%"
"James Hoyt","CLE","RP","36.9","44","0","0","0","3.54","1.29","15","33","15","5","41","3","1","0%"
"Ryan Weber","BOS","SP,RP","62.7","35","0","0","0","4.24","1.34","30","72","13","7","18","5","4","0%"
"Ryan Merritt","TB","SP,RP","58.7","40","0","0","0","4.24","1.32","28","66","11","10","15","4","4","0%"
"Jalen Beeks","TB","RP","77.4","73","0","0","0","4.53","1.40","39","76","32","14","19","5","5","0%"
"Dennis Santana","LAD","SP,RP","49.7","52","0","0","0","4.19","1.38","23","47","22","6","11","3","3","0%"
"Jose De Leon","TB","SP,RP","41.6","42","0","0","0","4.46","1.33","21","40","16","8","10","3","3","0%"
"Daniel Ponce de Leon","STL","SP,RP","44.4","40","0","0","0","4.12","1.40","20","41","21","5","10","3","3","1%"
"Fernando Salas","","RP","48.9","42","0","0","0","4.36","1.34","24","50","16","8","52","3","3","0%"
"Adam Liberatore","","RP","33.4","31","0","0","0","3.91","1.38","15","31","15","4","40","3","3","0%"
"Danny Farquhar","NYY","RP","44.9","43","0","0","0","4.52","1.35","23","43","18","8","44","3","2","0%"
"George Kontos","CHC","RP","36.6","28","0","0","0","4.27","1.26","17","36","10","6","37","2","2","0%"
"Martin Perez","MIN","SP,RP","115.0","76","0","0","0","4.70","1.49","60","131","41","13","24","7","7","1%"
"Josh Tomlin","MIL","SP,RP","46.7","34","0","0","0","5.06","1.28","26","53","6","13","21","3","3","0%"
"Kyle McGrath","SD","RP","39.0","34","0","0","0","4.38","1.33","19","38","14","6","35","2","3","0%"
"Justin Shafer","TOR","RP","46.5","33","0","0","0","4.16","1.51","22","46","25","5","38","4","3","0%"
"Luiz Gohara","ATL","RP, SP","30.9","30","0","0","0","4.22","1.34","14","30","12","5","7","2","2","1%"
"Dan Coulombe","NYY","RP","31.0","30","0","0","0","4.14","1.37","14","30","13","4","32","2","1","0%"
"Alec Mills","CHC","SP,RP","33.6","28","0","0","0","4.48","1.34","17","33","12","6","12","2","2","0%"
"Alex Meyer","LAA","SP,RP","43.5","44","0","0","0","4.55","1.48","22","41","24","5","11","3","3","0%"
"Hoby Milner","TB","RP","34.4","31","0","0","0","3.93","1.35","15","33","14","5","39","1","1","0%"
"Kevin Shackelford","","RP","34.7","36","0","0","0","4.03","1.46","16","33","18","4","28","2","2","0%"
"Brian Johnson","BOS","SP,RP","59.9","49","1","0","0","4.65","1.43","31","62","23","11","14","3","3","0%"
"Kazuhisa Makita","SD","RP","39.9","33","0","0","0","4.44","1.36","20","40","14","5","33","2","2","0%"
"Cody Reed","CIN","RP","54.4","52","0","0","0","4.69","1.48","28","55","25","10","17","3","3","0%"
"Luke Bard","LAA","RP","41.4","40","0","0","0","4.46","1.40","21","41","18","6","28","2","3","0%"
"Ryan Meisinger","STL","RP","32.1","31","0","0","0","4.49","1.35","16","30","14","4","27","2","2","0%"
"Ian Krol","CIN","RP","41.2","40","0","0","0","4.26","1.46","20","39","21","5","34","2","2","0%"
"Preston Guilmet","MIN","RP","31.7","30","0","0","0","4.41","1.28","16","32","9","6","25","1","1","0%"
"A.J. Schugel","PIT","RP","33.5","28","0","0","0","4.30","1.40","16","35","13","5","28","2","2","0%"
"Chase Whitley","ATL","RP","38.0","29","0","0","0","4.62","1.34","20","39","12","6","25","2","2","0%"
"Tyler Bashlor","NYM","RP","31.2","30","0","0","0","4.33","1.33","15","27","15","4","30","1","2","0%"
"Casey Lawrence","","RP","70.9","47","0","0","0","4.89","1.40","39","82","18","11","17","4","5","0%"
"Max Povse","SEA","SP,RP","56.2","45","0","0","0","4.81","1.50","30","61","24","8","11","4","4","0%"
"Jeremy Bleich","PHI","SP,RP","32.9","27","0","0","0","4.52","1.37","17","35","10","5","27","2","2","0%"
"Alan Busenitz","","RP","46.4","39","0","0","0","4.76","1.43","25","51","16","7","34","3","3","0%"
"Josh Ravin","","RP","24.7","31","0","0","0","4.56","1.44","13","20","16","4","21","2","2","0%"
"Josh Lucas","BAL","RP","36.9","30","0","0","0","4.40","1.42","18","38","15","5","28","2","2","0%"
"Edward Paredes","PHI","RP","26.9","31","0","0","0","4.36","1.49","13","25","16","4","33","2","2","0%"
"Justin Haley","","RP","62.0","44","0","0","0","4.86","1.47","34","70","21","8","17","4","4","0%"
"Cory Mazzoni","","RP","30.5","39","0","0","0","4.87","1.43","17","33","11","5","25","2","2","0%"
"Aaron Brooks","OAK","SP,RP","35.6","26","0","0","0","4.61","1.42","18","39","11","5","13","2","2","0%"
"Mike Morin","MIN","RP","33.9","27","0","0","0","4.69","1.37","18","37","9","4","28","2","2","0%"
"Jose Ramirez","","RP","47.7","46","0","0","0","4.72","1.50","25","44","28","7","50","3","3","0%"
"Joshua Smoker","DET","RP","38.4","39","0","0","0","4.69","1.45","20","39","17","7","37","2","2","0%"
"Justin Grimm","CLE","RP","32.0","34","0","0","0","4.78","1.45","17","30","17","5","35","2","2","0%"
"Greg Infante","BAL","RP","36.2","30","0","0","0","4.61","1.44","19","37","16","5","36","2","2","0%"
"Chris O'Grady","","RP","36.9","32","0","0","0","4.72","1.43","19","38","15","8","17","2","3","0%"
"Anthony Bass","CIN","RP","46.4","39","0","0","0","4.66","1.45","24","50","18","6","25","2","3","0%"
"Nestor Cortes Jr.","NYY","SP,RP","58.2","48","0","0","0","4.95","1.53","32","64","25","10","22","4","3","0%"
"Andrew Moore","TB","SP,RP","47.2","32","0","0","0","5.29","1.39","28","52","13","15","11","3","4","0%"
"Boone Logan","","RP","20.0","25","0","0","0","4.28","1.50","10","18","13","3","32","1","1","0%"
"Domingo Acevedo","NYY","SP,RP","33.8","26","0","0","0","4.97","1.44","19","37","12","8","8","2","2","0%"
"Rob Scahill","","RP","43.0","36","0","0","0","4.71","1.47","23","44","20","5","40","2","3","0%"
"Dylan Covey","CWS","SP,RP","90.7","66","0","0","0","4.89","1.48","49","95","40","13","22","5","7","0%"
"Chris Flexen","NYM","SP,RP","30.6","23","0","0","0","4.86","1.50","17","33","13","5","7","2","2","0%"
"Mike Hauschild","TOR","RP","48.0","36","0","0","0","4.88","1.53","26","51","23","6","10","3","3","0%"
"Zack Weiss","MIN","RP","26.2","26","0","0","0","4.82","1.53","14","26","14","5","24","2","3","0%"
"Zach Lee","SD","RP","73.5","45","0","0","0","5.02","1.46","41","84","24","11","14","4","6","0%"
"Carlos Ramirez","CHC","RP","33.2","31","0","0","0","4.62","1.55","17","30","22","4","25","2","2","0%"
"Thomas Pannone","TOR","SP,RP","52.6","42","0","0","0","5.30","1.44","31","57","19","11","16","3","4","0%"
"Odrisamer Despaigne","","SP,RP","56.7","41","0","0","0","4.82","1.52","30","63","23","8","27","3","3","0%"
"Deck McGuire","","SP,RP","56.4","46","0","0","0","5.16","1.48","32","57","26","12","24","3","4","0%"
"Jhan Marinez","BAL","RP","45.0","36","0","0","0","4.60","1.53","23","49","20","6","38","2","2","0%"
"Zach Neal","","RP","62.4","33","0","0","0","5.34","1.33","37","74","10","12","20","3","4","0%"
"Eric Stout","SD","RP","42.2","29","0","0","0","4.70","1.49","22","46","17","5","35","2","3","0%"
"Justin Hancock","CHC","SP,RP","31.0","28","0","0","0","4.79","1.55","17","30","18","4","27","2","2","0%"
"Jerry Vasto","CHC","RP","35.5","38","0","0","0","4.94","1.55","20","34","21","5","39","2","3","0%"
"Drew Hutchison","NYY","SP,RP","54.2","43","0","0","0","5.09","1.52","31","59","23","9","17","3","3","0%"
"Matt Koch","ARI","SP,RP","43.9","25","0","0","0","5.32","1.42","26","51","12","9","11","2","3","0%"
"Rob Zastryzny","CHC","RP","49.4","40","0","0","0","5.02","1.55","28","52","25","7","23","3","3","0%"
"Mark Leiter Jr.","TOR","RP","32.9","30","0","0","0","5.06","1.48","19","36","13","6","25","1","2","0%"
"Luis Santos","TB","RP","41.8","38","0","0","0","5.39","1.49","25","45","17","11","22","2","3","0%"
"Zac Curtis","TEX","RP","41.9","42","0","0","0","4.95","1.62","23","40","28","6","39","2","3","0%"
"Buddy Baumann","","RP","26.9","27","0","0","0","5.20","1.55","16","26","16","4","26","1","2","0%"
"Jeff Hoffman","COL","SP,RP","43.9","36","0","0","0","5.35","1.54","26","48","20","7","10","2","3","0%"
"Eduardo Paredes","DET","RP","41.7","32","0","0","0","4.97","1.50","23","44","19","6","35","1","1","0%"
"D.J. Snelten","SF","RP","35.5","27","0","0","0","4.94","1.63","20","38","20","4","29","2","2","0%"
"Lucas Sims","CIN","RP","32.4","32","0","0","0","5.41","1.53","19","33","16","8","10","1","2","0%"
"Phil Hughes","","RP","52.9","40","0","0","0","5.70","1.45","34","65","12","13","15","3","4","0%"
"Akeel Morris","","RP","41.4","37","0","0","0","5.11","1.62","24","41","27","5","33","2","2","0%"
"Tyler Danish","SEA","RP","63.0","36","0","0","0","4.93","1.55","35","71","27","7","21","3","4","0%"
"David Hale","NYY","SP,RP","37.3","24","0","0","0","5.38","1.50","22","44","12","8","12","1","2","0%"
"Ronald Herrera","TEX","RP","54.7","30","0","0","0","5.11","1.54","31","64","21","8","15","3","4","0%"
"Alex McRae","PIT","SP,RP","55.1","36","0","0","0","5.23","1.58","32","64","23","7","13","3","4","0%"
"Michael Ynoa","KC","RP","22.2","18","0","0","0","5.27","1.67","13","22","15","3","27","1","1","0%"
"Marc Rzepczynski","ARI","RP","25.0","23","0","0","0","4.86","1.76","14","26","19","3","47","1","1","0%"
"Alec Asher","COL","SP,RP","41.2","24","0","0","0","5.63","1.51","26","48","14","9","11","2","3","0%"
"Tyler Cloyd","TB","RP","55.4","36","0","0","0","5.77","1.48","36","66","16","12","14","3","4","0%"
"Scott Copeland","WSH","SP,RP","65.2","44","0","0","0","5.32","1.59","39","74","30","10","19","4","5","0%"
"Jose Valdez","","RP","35.4","34","0","0","0","5.47","1.67","22","35","24","5","29","2","3","0%"
"Chris Volstad","","RP","57.8","29","0","0","0","5.45","1.48","35","70","15","8","16","3","4","0%"
"Jacob Turner","","RP","59.5","35","0","0","0","5.60","1.64","37","72","26","15","30","3","4","0%"
"Brandon Mann","","SP,RP","39.7","31","0","0","0","5.45","1.63","24","42","23","6","29","2","3","0%"
"Sam Howard","COL","SP,RP","64.4","48","0","0","0","5.73","1.58","41","74","28","12","23","4","4","0%"
"Brett Graves","MIA","SP,RP","49.4","32","0","0","0","5.64","1.56","31","57","21","8","20","2","3","0%"
"Dean Kiekhefer","OAK","RP","27.3","17","0","0","0","5.77","1.76","18","40","8","4","38","2","3","0%"
"Braden Shipley","ARI","RP","50.4","33","0","0","0","5.89","1.61","33","59","23","13","20","3","3","0%"
"Rex Brothers","NYY","RP","31.2","37","0","0","0","6.07","2.02","21","28","36","4","36","3","3","0%"
"Andres Machado","","RP","51.0","35","0","0","0","5.91","1.66","34","60","25","8","21","3","4","0%"
"Osmer Morales","","RP","60.5","47","0","0","0","6.02","1.64","41","68","31","13","42","3","4","0%"
"Austin Bibens-Dirkx","","SP,RP","78.7","56","0","0","0","6.29","1.58","55","96","29","17","23","4","5","0%"
"William Cuevas","BOS","SP,RP","46.6","37","0","0","0","6.43","1.82","33","65","20","12","24","3","4","0%"
"Rafael Montero","TEX","SP,RP","64.7","53","0","0","0","6.26","1.76","45","77","38","11","24","3","5","0%"
"Daniel Corcino","LAD","SP,RP","58.0","52","0","0","0","4.50","1.44","29","57","27","8","20","3","3",""
"Jen-Ho Tseng","CHC","SP,RP","50.8","37","0","0","0","5.29","1.48","30","58","18","14","10","3","4",""
"Brandon Cumpton","TOR","SP,RP","33.2","20","0","0","0","6.24","1.66","23","42","13","6","10","2","3",""
"Burch Smith","MIL","SP,RP","35.5","35","0","0","0","5.58","1.58","22","37","19","7","20","2","2",""
"Williams Perez","STL","SP,RP","68.7","48","0","0","0","4.33","1.38","33","72","23","7","27","4","4",""
"Adrian Sampson","TEX","SP,RP","46.8","28","0","0","0","5.96","1.58","31","64","10","10","15","2","3",""
"Zach Eflin","PHI","SP,RP","140.7","125","0","0","0","4.43","1.31","69","145","40","22","27","9","9",""
"Taylor Hearn","TEX","SP,RP","44.9","41","0","0","0","5.26","1.56","26","47","23","10","10","2","3",""
"Ryan Borucki","TOR","SP,RP","121.3","90","0","0","0","4.25","1.37","57","122","44","16","22","7","7",""
"P.J. Conlon","NYM","SP,RP","37.1","25","0","0","0","5.03","1.48","21","42","13","8","8","1","3",""
"Ranger Suarez","PHI","SP,RP","42.2","30","0","0","0","4.57","1.45","21","45","16","9","11","2","2",""
"Pablo Lopez","MIA","SP,RP","62.6","49","0","0","0","3.99","1.27","28","62","17","8","11","3","4",""
"Darwinzon Hernandez","BOS","SP,RP","51.7","48","0","0","0","5.30","1.74","30","50","40","10","14","3","3",""
"Ryan Carpenter","DET","SP,RP","38.4","30","0","0","0","5.63","1.48","24","45","12","10","16","2","3",""
"David Hess","BAL","SP,RP","108.0","77","0","0","0","5.60","1.50","67","120","42","23","23","4","9",""
"Tony Barnette","CHC","RP","45.9","45","0","0","1","2.81","1.04","14","33","15","4","33","3","1","0%"
"Matt Andriese","ARI","SP,RP","86.8","79","0","0","1","4.54","1.34","44","90","26","14","30","4","5","0%"
"Adam Warren","SD","RP","57.9","55","1","0","1","3.85","1.30","25","54","22","8","46","3","3","0%"
"John Gant","STL","SP,RP","74.9","64","0","0","1","4.19","1.40","35","71","33","10","34","4","4","1%"
"Domingo German","NYY","SP,RP","58.6","65","0","0","1","4.40","1.31","29","55","22","9","18","3","3","2%"
"Giovanny Gallegos","STL","RP","28.9","33","1","0","1","3.39","1.16","11","25","9","3","23","2","1","0%"
"Austin Davis","PHI","RP","33.5","36","1","0","1","3.69","1.30","14","31","12","4","31","2","1","0%"
"Nick Vincent","SF","RP","32.9","31","0","0","1","3.85","1.21","14","31","8","6","44","2","2","0%"
"Brendan McCurry","HOU","RP","29.8","29","0","0","1","3.90","1.28","13","29","9","5","24","3","2","0%"
"Tony Sipp","","RP","33.4","34","0","0","1","3.92","1.28","15","30","13","5","38","2","2","0%"
"Cole Sulser","TB","RP","27.4","32","0","0","1","3.69","1.26","11","24","11","4","25","2","2","0%"
"Oliver Drake","TB","RP","36.3","39","0","0","1","3.98","1.33","16","34","15","4","34","2","2","0%"
"Ben Taylor","CLE","RP","32.8","33","0","0","1","4.04","1.28","15","31","11","5","31","2","2","0%"
"Derek Law","SF","RP","30.3","27","1","0","1","3.95","1.34","13","30","11","3","26","2","2","0%"
"A.J. Ramos","","RP","36.4","40","1","0","1","4.18","1.41","17","31","20","5","40","2","2","0%"
"Blake Wood","","RP","36.8","36","0","0","1","4.05","1.43","17","36","17","4","38","2","2","0%"
"Vidal Nuno","WSH","RP","31.5","27","0","0","1","4.23","1.31","15","32","9","7","20","2","2","0%"
"Aaron Wilkerson","MIL","SP,RP","42.8","39","0","0","1","4.58","1.35","22","42","16","6","21","2","2","0%"
"Joey Krehbiel","ARI","RP","33.6","38","0","0","1","4.29","1.43","16","30","18","4","29","2","2","0%"
"Jacob Rhame","NYM","RP","27.5","29","0","0","1","4.24","1.27","13","25","10","5","26","1","1","0%"
"Tyler Lyons","PIT","RP","23.2","24","1","0","1","4.12","1.30","11","22","8","4","22","1","1","0%"
"Chih-Wei Hu","CLE","RP","40.4","32","0","0","1","4.75","1.33","21","42","12","7","21","2","2","0%"
"Tyler Webb","STL","RP","26.9","27","0","0","1","3.97","1.32","12","25","10","4","26","1","1","0%"
"Nick Gardewine","TEX","RP","34.5","33","0","0","1","4.28","1.44","16","35","15","4","28","2","2","0%"
"Matt Belisle","","RP","35.8","28","0","0","1","4.44","1.37","18","38","11","5","34","2","2","0%"
"John Curtiss","LAA","RP","27.0","28","0","0","1","4.15","1.41","12","24","14","4","26","2","1","0%"
"Austin Adams","LAA","RP","24.2","32","0","0","1","3.70","1.45","10","19","16","2","26","1","1","0%"
"Donnie Hart","LAD","RP","26.7","22","0","0","1","4.08","1.42","12","29","9","3","29","2","1","0%"
"Ben Lively","KC","SP,RP","40.9","29","0","0","1","4.60","1.39","21","43","14","6","16","2","3","0%"
"Bryan Mitchell","SD","SP,RP","86.0","59","0","0","1","4.66","1.50","45","92","37","9","26","4","5","0%"
"Keynan Middleton","LAA","RP","22.5","23","0","0","1","4.00","1.37","10","21","9","4","23","1","1","0%"
"Pat Venditte","SF","RP","27.1","25","0","0","1","4.03","1.37","12","25","13","3","25","1","1","0%"
"Steven Okert","SF","RP","21.5","23","0","0","1","4.38","1.29","10","20","7","3","27","1","1","0%"
"Tanner Anderson","OAK","RP","33.7","21","0","0","1","4.17","1.43","16","36","12","3","20","2","2","0%"
"Jake Petricka","MIL","RP","31.8","26","0","0","1","4.12","1.40","15","33","11","3","30","1","2","0%"
"Dean Deetz","HOU","RP","32.4","36","0","0","1","4.45","1.51","16","30","19","4","25","2","2","0%"
"Colten Brewer","BOS","SP,RP","29.1","29","0","0","1","4.42","1.50","14","31","13","3","26","2","1","0%"
"Kyle Ryan","CHC","SP,RP","28.9","24","0","0","1","4.27","1.45","14","29","13","4","26","1","1","0%"
"Austin Brice","MIA","RP","33.3","29","0","0","1","4.90","1.39","18","35","12","4","28","2","2","0%"
"Pierce Johnson","SF","RP","37.0","37","0","0","1","4.64","1.48","19","35","20","5","33","2","2","0%"
"Adrian Houser","MIL","RP","42.2","34","0","0","1","4.70","1.45","22","45","16","7","24","2","2","0%"
"Joe Palumbo","TEX","SP,RP","30.3","25","0","0","1","4.76","1.48","16","32","13","6","13","2","2","0%"
